eo_class_code,eo_class_description
E01_01,Самосвалы карьерные
E02_01,Станки буровые вращ. бур. шарошками
E02_02,Станки буровые вращ. бур. коронками
E02_03,Станки буровые ударно-вращательного бур.
E02_05,Станки буровые ударно-канатного бурения
E03_01,Экскаваторы гидравлические
E03_02,Экскаваторы электрические
E05_01,Бульдозеры колесные
E05_02,Бульдозеры гусеничные
E06_01,Автогрейдеры
E17_11,Погрузчики фронтальные
