,be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,evaluated_operation_finish_date,id
2180,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC46,785C BR 62-2,100000039452,component,2011-03-31,12,2023-03-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,615
2198,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC48,785C BR 68-2,100000039260,component,2011-02-28,12,2023-02-28 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,632
2365,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC65,517,100000038791,component,2011-07-31,12,2023-07-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-07-31,781
1991,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC69,785С PG 39-1,100000038594,component,2011-07-31,12,2023-07-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-07-31,804
2398,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC69,785C GT 67-3,100000055970,component,2011-05-26,12,2023-05-26 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-05-26,806
2409,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC70,785С PG 29-1,100000038596,component,2011-07-31,12,2023-07-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-07-31,812
2428,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC72,785C GT 69-2,100000055962,component,2011-04-30,12,2023-04-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-30,827
2438,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC73,785C GT 70-3,100000055977,component,2011-07-31,12,2023-07-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-07-31,837
2513,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC80,532 (РАНЕЕ ГП С 419),100000038654,component,2011-04-30,12,2023-04-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-30,886
2535,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC83,785С PG 28-1,100000038587,component,2011-04-30,12,2023-04-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-30,904
