,be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,evaluated_operation_finish_date,id
4343,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043673,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2410
4344,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043702,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2411
4345,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043730,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-11-30,2412
4346,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043406,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2413
4347,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043431,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2414
4348,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043454,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2415
4349,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043477,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2416
4350,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043500,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2417
4351,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043522,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2418
4352,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-VOST-UGVS-E110,27,100000043551,component,2011-11-30,12,2023-11-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-30,2419
4401,1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-5А,11-RUD-VOST-UGVS-E502,11,100000062754,head,2009-01-01,12,2021-01-01 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2458
4422,1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-5А,11-RUD-VOST-UGVS-E503,23,100000062729,head,2010-07-15,12,2022-07-15 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2459
4444,1100.0,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC3000-6,11-RUD-VOST-UGVS-P601,501,100000062728,head,2009-11-30,12,2021-11-30 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2479
4455,1100.0,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC1250-7,11-RUD-VOST-UGVS-P701,04,100000062752,head,2007-12-12,12,2019-12-12 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,2481
1969,1100.0,"АО ""Полюс Красноярск""",,,,,425,100000039234,component,2011-05-26,12,2023-05-26 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,НАСК,КМПН,2199-01-01,,2023-05-26,2653
2278,1100.0,"АО ""Полюс Красноярск""",,,,,507,100000055971,component,2011-01-31,12,2023-01-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,НАСК,plug,2199-01-01,,2023-01-31,2671
2284,1100.0,"АО ""Полюс Красноярск""",,,,,508,100000055924,component,2011-02-28,12,2023-02-28 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,НАСК,plug,2199-01-01,,2023-02-28,2672
2298,1100.0,"АО ""Полюс Красноярск""",,,,,509,100000038429,component,2011-02-28,12,2023-02-28 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,НАСК,КМПН,2199-01-01,,2023-02-28,2673
2352,1100.0,"АО ""Полюс Красноярск""",,,,,516,100000055952,component,2011-05-20,12,2023-05-20 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,НАСК,plug,2199-01-01,,2023-05-20,2674
2382,1100.0,"АО ""Полюс Красноярск""",,,,,519,100000038778,component,2011-04-30,12,2023-04-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,НАСК,КМПН,2199-01-01,,2023-04-30,2675
16,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,03-CTT-KD01,1609,100000008666,head,2012-10-04,12,2024-10-04 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,2741
24,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,03-CTT-KD02,1610,100000008667,head,2012-10-14,12,2024-10-14 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,2743
27,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD02,1610,100000009782,component,2012-10-14,12,2024-10-14 00:00:00.000000,2023-11-17,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-11-17,2745
34,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD03,1611,100000010301,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2750
36,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD03,1611,100000009786,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-30,2752
37,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD03,1611,100000009787,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2753
38,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD03,1611,100000009788,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2754
39,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD03,1611,100000009789,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2755
42,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD04,1612,100000009795,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-30,2758
43,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD04,1612,100000010302,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2759
44,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD04,1612,100000009793,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-09-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-09-30,2760
45,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD04,1612,100000009791,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2761
46,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD04,1612,100000009792,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-01-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-01-30,2762
47,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD04,1612,100000009794,component,2013-01-30,12,2025-01-30 00:00:00.000000,2023-09-30,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-09-30,2763
50,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD05,1613,100000010303,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,2766
51,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD05,1613,100000009796,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-03-01,2767
52,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD05,1613,100000009797,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-03-02,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-02,2768
53,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD05,1613,100000009798,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-03-03,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-03,2769
54,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD05,1613,100000009799,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-03-04,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-04,2770
55,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD05,1613,100000009800,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-03-05,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-05,2771
58,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD06,1614,100000009803,component,2013-03-29,12,2025-03-29 00:00:00.000000,2023-03-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-29,2774
59,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD06,1614,100000010304,component,2013-03-29,12,2025-03-29 00:00:00.000000,2023-03-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-29,2775
60,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD06,1614,100000009804,component,2013-03-29,12,2025-03-29 00:00:00.000000,2023-03-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-29,2776
61,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD06,1614,100000009805,component,2013-03-29,12,2025-03-29 00:00:00.000000,2023-03-29,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-03-29,2777
63,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD06,1614,100000009802,component,2013-03-29,12,2025-03-29 00:00:00.000000,2023-03-29,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-29,2778
66,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD07,1615,100000009806,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-26,2781
67,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD07,1615,100000009807,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,2782
68,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD07,1615,100000010305,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,2783
70,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD07,1615,100000009808,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,2785
71,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KD07,1615,100000009809,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,2786
112,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM01,1621,100000009821,component,2019-03-01,12,2031-03-01 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-01,2793
115,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM01,1621,100000009822,component,2019-03-01,12,2031-03-01 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-01,2796
120,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM02,1622,100000009830,component,2019-03-01,12,2031-03-01 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-01,2801
123,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM02,1622,100000009829,component,2019-03-01,12,2031-03-01 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-01,2804
127,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM03,1623,100000009831,component,2019-03-01,12,2031-03-01 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-01,2808
131,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM03,1623,100000009832,component,2019-03-01,12,2031-03-01 00:00:00.000000,2023-03-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-01,2812
135,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM04,1624,100000021365,component,2020-03-31,12,2032-03-31 00:00:00.000000,2023-03-31,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,2816
136,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM04,1624,100000021366,component,2020-03-31,12,2032-03-31 00:00:00.000000,2023-03-31,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,2817
144,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM05,1625,100000021372,component,2020-03-31,12,2032-03-31 00:00:00.000000,2023-03-31,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,2825
147,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM05,1625,100000021371,component,2020-03-31,12,2032-03-31 00:00:00.000000,2023-03-31,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,2828
152,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM06,1626,100000023801,component,2020-08-01,12,2032-08-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2833
155,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM06,1626,100000023797,component,2020-08-01,12,2032-08-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2836
158,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM07,1627,100000068305,component,2021-01-01,12,2033-01-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2839
159,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM07,1627,100000068306,component,2021-01-01,12,2033-01-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2840
165,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM08,1628,100000068310,component,2021-01-01,12,2033-01-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2846
166,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM08,1628,100000068311,component,2021-01-01,12,2033-01-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2847
172,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM09,1629,100000068277,component,2020-12-20,12,2032-12-20 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2853
173,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM09,1629,100000068278,component,2020-12-20,12,2032-12-20 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2854
178,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM10,1630,100000071922,component,2022-01-01,12,2034-01-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2859
179,1200.0,"АО ""Полюс Вернинское""",,,,03-CTT-KM10,1630,100000071925,component,2022-01-01,12,2034-01-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,2860
251,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010234,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,2930
252,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010235,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,2931
253,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010236,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,2932
254,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010237,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,2933
255,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010238,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-02-28,2934
256,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010394,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-02-28,2935
257,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-OOBR-EX01,1203,100000010395,component,2013-02-28,12,2025-02-28 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-02-28,2936
374,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX01,1201,100000010239,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3021
375,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX01,1201,100000010240,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3022
376,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX01,1201,100000010241,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3023
377,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX01,1201,100000010242,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3024
378,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX01,1201,100000010243,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-26,3025
381,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX02,1202,100000010244,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3028
382,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX02,1202,100000010245,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3029
383,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX02,1202,100000010246,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3030
384,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX02,1202,100000010247,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-04-26,3031
385,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX02,1202,100000010248,component,2013-04-26,12,2025-04-26 00:00:00.000000,2023-04-26,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-26,3032
410,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX06,1214,100000010264,component,2015-09-12,12,2027-09-12 00:00:00.000000,2023-09-12,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-09-12,3045
412,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-EX07,1209,100000024459,component,2020-08-01,12,2032-08-01 00:00:00.000000,2023-08-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-01,3047
427,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-LF02,1302,100000010149,component,2013-08-25,12,2025-08-25 00:00:00.000000,2023-08-25,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-25,3060
428,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-LF02,1302,100000010147,component,2013-08-25,12,2025-08-25 00:00:00.000000,2023-08-25,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-25,3061
429,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-LF02,1302,100000010148,component,2013-08-25,12,2025-08-25 00:00:00.000000,2023-08-25,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-25,3062
439,1200.0,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,03-RUD-EKSK-VOBR-LF05,1309,100000008684,head,2014-04-30,12,2026-04-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,3070
444,1200.0,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,03-RUD-EKSK-VOBR-LF06,1310,100000008685,head,2014-05-28,12,2026-05-28 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,3072
457,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-LF08,1312,100000010167,component,2014-09-20,12,2026-09-20 00:00:00.000000,2023-09-20,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-09-20,3075
465,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-LF11,1305,100000099332,component,2021-01-01,12,2033-01-01 00:00:00.000000,2023-03-27,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-27,3083
467,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-EKSK-VOBR-LF12,1306,100000099882,component,2022-04-10,12,2034-04-10 00:00:00.000000,2023-03-27,operation,2027-12-31 00:00:00,ПВЕО,ВЗКП КМПН,2199-01-01,,2023-03-27,3085
501,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UBVR-DR02,1103,100000009850,component,2008-12-29,12,2020-12-29 00:00:00.000000,2023-12-29,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-12-29,3096
502,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UBVR-DR02,1103,100000009851,component,2008-12-29,12,2020-12-29 00:00:00.000000,2023-12-29,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-12-29,3097
505,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UBVR-DR03,1104,100000009837,component,2021-09-14,12,2033-09-14 00:00:00.000000,2023-09-25,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-09-25,3098
507,1200.0,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DM 45LP,03-RUD-UBVR-DR04,1105,100000009133,head,2007-12-30,12,2019-12-30 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,3099
512,1200.0,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DML HP 1450,03-RUD-UBVR-DR05,1106,100000009134,head,2013-12-10,12,2025-12-10 00:00:00.000000,2023-12-31,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-31,3101
517,1200.0,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DML HP 1450,03-RUD-UBVR-DR06,1107,100000009135,head,2013-12-10,12,2025-12-10 00:00:00.000000,2023-12-10,operation,2027-12-31 00:00:00,УСТН,plug,2199-01-01,,2023-12-10,3104
519,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UBVR-DR06,1107,100000009845,component,2013-12-10,12,2025-12-10 00:00:00.000000,2023-12-10,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-12-10,3106
520,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UBVR-DR06,1107,100000009846,component,2013-12-10,12,2025-12-10 00:00:00.000000,2023-12-10,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-12-10,3107
549,1200.0,"АО ""Полюс Вернинское""",,,,03-RUD-UBVR-DR09,1110,100000078528,component,2021-07-02,12,2033-07-02 00:00:00.000000,2023-05-20,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-05-20,3135
