be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,qty at 31.12.2022,in 2022,out 2022,qty at 31.12.2023,in 2023,out 2023
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043290,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.768755,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043317,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.772738,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043346,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.777346,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043373,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.781351,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043574,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.785146,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043621,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.793054,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043645,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.796951,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043696,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.801165,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043725,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.805488,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043401,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:45.662724,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043427,component,2008-02-19,12.0,2020-02-19 00:00:00,,operation_finished,2022-06-17 11:42:45.666482,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043449,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:45.670300,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043473,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:45.674769,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043495,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:45.678677,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043517,component,2008-02-19,12.0,2020-02-19 00:00:00,,operation_finished,2022-06-17 11:42:45.682454,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043546,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:45.686169,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043668,component,2008-02-19,12.0,2020-02-19 00:00:00,,operation_finished,2022-06-17 11:42:45.689917,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,АГИТО,100000098871,component,2017-07-14,12.0,2029-07-14 00:00:00,,operation,2022-06-17 11:42:53.772589,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-BLAG-UGBL-E102,28,100000063333,head,2012-01-31,12.0,2024-01-31 00:00:00,2028-07-01,operation,2022-06-17 11:42:39.828359,УСТН,СИНХ,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043285,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.784861,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043313,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.788621,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043341,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.792236,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043369,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.796031,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043397,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.799695,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043593,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.803445,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043617,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.807260,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043641,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.810940,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043663,component,2012-01-31,12.0,2024-01-31 00:00:00,,operation,2022-06-17 11:42:39.814618,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043422,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.244512,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043446,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.250021,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043469,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.254336,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043492,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.258195,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E102,28,100000043514,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.262060,ПВЕО,КМПН,,,0,0,0,0,0,0
